date,Trues,DWT-Informer,Informer,gru,lstm
2019/5/21,-0.24173608,-0.2860543,-0.22939941,-0.0071178,-0.12496627
2019/5/22,-0.2597994,-0.24820116,-0.25046673,-0.014450144,-0.12560147
2019/5/23,-0.2155283,-0.24996725,-0.2722636,-0.021662625,-0.12648363
2019/5/24,-0.30340526,-0.20608884,-0.2522665,-0.023433017,-0.1285855
2019/5/27,-0.31193063,-0.12991181,-0.22984096,-0.028290594,-0.12914969
2019/5/28,-0.33405197,-0.3881191,-0.26253667,-0.035727978,-0.12948622
2019/5/29,-0.30668217,-0.31034493,-0.3268487,-0.04707334,-0.13118882
2019/5/30,-0.3080876,-0.31788182,-0.32144168,-0.05990913,-0.13244504
2019/5/31,-0.22675215,-0.2998735,-0.31810415,-0.07149038,-0.13393404
2019/6/3,-0.18240663,-0.3410797,-0.5626549,-0.078447305,-0.1352469
2019/6/4,-0.17244074,-0.31024283,-0.3335041,-0.07775407,-0.13951187
2019/6/5,-0.19620073,-0.29074162,-0.3150468,-0.07124127,-0.1404916
2019/6/6,-0.08840687,-0.33736157,-0.30731344,-0.06331629,-0.14191401
2019/6/10,-0.21043704,-0.21353734,-0.22637516,-0.049816847,-0.14280286
2019/6/11,-0.21651669,-0.33892137,-0.30023062,-0.040018983,-0.1426957
2019/6/12,-0.21391693,-0.31682718,-0.31372923,-0.036129206,-0.14249584
2019/6/13,-0.30545843,-0.30431318,-0.31434655,-0.035053555,-0.14203501
2019/6/14,-0.22489604,-0.34129325,-0.33923587,-0.03817907,-0.14055504
2019/6/17,-0.25496665,-0.28559595,-0.32115766,-0.040265046,-0.13889384
2019/6/18,-0.20270264,-0.34952658,-0.3501677,-0.046538718,-0.13866243
2019/6/19,-0.29715875,-0.33032417,-0.321134,-0.05299264,-0.137268
2019/6/20,-0.247161,-0.37789506,-0.3587669,-0.06113697,-0.13547666
2019/6/21,-0.24664776,-0.32867745,-0.32184952,-0.0672217,-0.13367465
2019/6/24,-0.20921871,-0.34900364,-0.36008146,-0.07143273,-0.1320295
2019/6/25,-0.2081811,-0.3394448,-0.3150223,-0.0731701,-0.12969474
2019/6/26,-0.12607913,-0.25942782,-0.2618628,-0.068422996,-0.12715773
2019/6/27,-0.11930334,-0.25046352,-0.22029415,-0.0635435,-0.124327525
2019/6/28,-0.11652773,-0.22588015,-0.19103324,-0.059855048,-0.12244501
2019/7/1,-0.17512324,-0.22945482,-0.26046887,-0.054526296,-0.12086219
2019/7/2,-0.20735599,-0.32194203,-0.30498835,-0.05488193,-0.11993401
2019/7/3,-0.19585359,-0.33787382,-0.33711517,-0.057910062,-0.11973992
2019/7/4,-0.20272559,-0.31074846,-0.30722833,-0.057127252,-0.12031942
2019/7/5,-0.1164664,-0.31786254,-0.27446502,-0.053849082,-0.12086188
2019/7/8,-0.15126087,-0.27674663,-0.23478396,-0.047650337,-0.12225922
2019/7/9,-0.08326667,-0.15299039,-0.18764715,-0.032497376,-0.12241829
2019/7/10,-0.07815034,-0.22725603,-0.19764581,-0.019970624,-0.12300808
2019/7/11,-0.14643615,-0.1778518,-0.19370249,-0.010288384,-0.12323981
2019/7/12,-0.22594506,-0.24195296,-0.48308712,-0.006852287,-0.12356872
2019/7/15,-0.24086735,-0.26246426,-0.2856315,-0.010781577,-0.124448664
2019/7/16,-0.117653884,-0.23873416,-0.27236935,-0.017790155,-0.12461695
2019/7/17,-0.13367158,-0.23777711,-0.2272188,-0.02583897,-0.12523648
2019/7/18,-0.20954828,-0.22928354,-0.22880387,-0.032617427,-0.1261626
2019/7/19,-0.25594518,-0.23040926,-0.25370577,-0.040217493,-0.12727807
2019/7/22,-0.18617669,-0.2682168,-0.08897891,-0.05278132,-0.12816446
2019/7/23,-0.19606905,-0.21267581,-0.21599607,-0.059481826,-0.12881655
2019/7/24,-0.14693707,-0.2736369,-0.22149824,-0.06706787,-0.12978415
2019/7/25,-0.11376608,-0.26532888,-0.20916149,-0.07183282,-0.13011558
2019/7/26,-0.14040427,-0.25310966,-0.19347322,-0.07260329,-0.13007021
2019/7/29,-0.08237648,-0.21094745,-0.1740458,-0.07160124,-0.13067845
2019/7/30,-0.13451515,-0.22885308,-0.1772538,-0.06931306,-0.13079073
2019/7/31,-0.01726571,-0.24423578,-0.22140177,-0.06805554,-0.13166355
2019/8/1,-0.08320277,-0.21730319,-0.21609184,-0.061958518,-0.13255164
2019/8/2,0.07027025,-0.22498888,-0.22821936,-0.05394894,-0.13288003
