date,Trues,DWT,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_2_1,C_2_2,C_2_3,C_2_4,C_2_5,C_2_6,C_2_7,C_2_8,C_2_9,C_2_10,C_3_1,C_3_2,C_3_3,C_3_4,C_3_5,C_3_6,C_3_7,C_3_8,C_3_9,C_3_10,D_1_1,D_1_2,D_1_3,D_1_4,D_1_5,D_1_6,D_1_7,D_1_8,D_1_9,D_1_10,D_2_1,D_2_2,D_2_3,D_2_4,D_2_5,D_2_6,D_2_7,D_2_8,D_2_9,D_2_10,E_1_1,E_1_2,E_1_3,E_1_4,E_1_5,E_1_6,E_1_7,E_1_8,E_1_9,E_1_10,E_2_1,E_2_2,E_2_3,E_2_4,E_2_5,E_2_6,E_2_7,E_2_8,E_2_9,E_2_10,E_3_1,E_3_2,E_3_3,E_3_4,E_3_5,E_3_6,E_3_7,E_3_8,E_3_9,E_3_10,F_3_1,F_3_2,F_3_3,F_3_4,F_3_5,F_3_6,F_3_7,F_3_8,F_3_9,F_3_10
2019/5/21,-0.24173608,-0.2860543,-0.4010023,-0.25921834,-0.2986504,-0.36079207,-0.32867256,-0.38597345,-0.3349691,-0.2804549,-0.3934198,-0.46793416,-0.12548798,-0.30565417,-0.21172296,-0.26189208,-0.21648066,-0.15180072,-0.18252957,-0.2318888,-0.18684062,-0.29869658,-0.25247577,-0.27101195,-0.25499108,-0.30283883,-0.22406152,-0.20510718,-0.29793233,-0.29433203,-0.31252143,-0.31386152,-0.18243897,-0.17418027,-0.15206857,-0.10878645,-0.1926595,-0.34419972,-0.20720997,-0.4122198,-0.34706604,-0.28906715,-0.21903633,-0.47565344,-0.1219267,-0.18469808,-0.2704314,-0.44133025,-0.15503117,-0.18934828,-0.26798508,-0.25182003,-0.22795986,-0.17970942,-0.12183088,-0.14876617,-0.26046354,-0.23635769,-0.33927357,-0.24650231,-0.29876006,-0.15698841,-0.14171904,-0.30168244,-0.24270181,-0.4309167,-0.2195484,-0.11206599,-0.15843087,-0.05272836,-0.21148017,-0.11357482,-0.2604963,-0.21462168,-0.21881649,-0.2460523,-0.12838663,-0.2796758,-0.4097456,-0.24512698,-0.17698069,-0.2565187,-0.2516634,0.07876371,-0.13655281,-0.2723888,-0.21187949,-0.18980117,-0.054975383,0.025093788,-0.104296274,0.18755275
2019/5/22,-0.2597994,-0.24820116,-0.4297147,-0.28211784,-0.334195,-0.18780632,-0.359888,-0.4157114,-0.37153065,-0.30270684,-0.40332326,-0.48525867,-0.1462031,-0.3467137,-0.2037555,-0.29553375,-0.23862833,-0.17844884,-0.20147465,-0.27385345,-0.19290537,-0.35616404,-0.24808402,-0.21787551,-0.24988003,-0.28721902,-0.14082451,-0.22076213,-0.28595412,-0.28378043,-0.30537835,-0.28768766,-0.2019577,-0.21513012,-0.15821691,-0.1192298,-0.18841481,-0.36557442,-0.22786492,-0.40116054,-0.36208415,-0.29701445,-0.22879675,-0.44464135,-0.14656368,-0.2344606,-0.42253217,-0.44915372,-0.14697187,-0.21374029,-0.20364067,-0.26739523,-0.30858606,-0.21724321,-0.15761362,-0.28246346,-0.26231396,-0.28623727,-0.34819776,-0.1846349,-0.2972073,-0.29797503,-0.22010522,-0.25256845,-0.2167266,-0.44257963,-0.23311745,-0.14493598,-0.09186964,-0.19182722,-0.3156286,-0.13327016,-0.27225116,-0.23487619,-0.23288047,-0.1466817,-0.13690285,-0.28256002,-0.42591172,-0.19961593,-0.18100703,-0.26157138,-0.26908478,0.052953217,-0.14589188,-0.32556605,-0.2185418,-0.05597576,-0.06958165,-0.028998958,-0.1212921,0.018530592
2019/5/23,-0.2155283,-0.24996725,-0.3701561,-0.22569185,-0.31979537,-0.19715844,-0.29097825,-0.35074633,-0.29911903,-0.2695147,-0.33896577,-0.40338755,-0.17315683,-0.26242185,-0.18690614,-0.2290984,-0.2805047,-0.17196609,-0.1282002,-0.21775672,-0.21685547,-0.29770306,-0.27665046,-0.26731494,-0.30715418,-0.35480565,-0.1967879,-0.25235268,-0.31703714,-0.33358136,-0.38457957,-0.3396818,-0.2995037,-0.2176306,-0.20191996,-0.1525237,-0.2512617,-0.32412112,-0.25263396,-0.35267827,-0.31374884,-0.3438747,-0.24273509,-0.3896005,-0.17554192,-0.2387009,-0.34856555,-0.39957175,-0.18742257,-0.3030636,-0.22575209,-0.29338792,-0.28519544,-0.20772624,-0.15221544,-0.2507374,-0.30819082,-0.20231584,-0.29521722,-0.22811344,-0.2585803,-0.24975204,-0.18563657,-0.32213485,-0.17361654,-0.3966833,-0.23292533,-0.15664916,-0.12777032,-0.074090466,-0.28007042,-0.1584567,-0.28645048,-0.27295277,-0.25587752,-0.17419098,-0.16159745,-0.3243883,-0.37838063,-0.22904001,-0.1867998,-0.27091175,-0.2934593,-0.004471842,-0.18387344,-0.29017434,-0.16758616,-0.16634291,-0.095534995,0.026926124,-0.15957907,-0.25913364
2019/5/24,-0.30340526,-0.20608884,-0.3141129,-0.19402975,-0.27314472,-0.1533222,-0.24017508,-0.29966837,-0.2737098,-0.21506651,-0.28775626,-0.35312113,-0.12835377,-0.21253383,-0.13318604,-0.2123855,-0.23457628,-0.1735039,-0.16012305,-0.17976636,-0.17145254,-0.2743347,-0.24198096,-0.23301114,-0.31078517,-0.32188582,-0.18841687,-0.19468188,-0.310681,-0.33429274,-0.30390275,-0.32492456,-0.18407911,-0.15326259,-0.16523528,-0.106884524,-0.20786047,-0.26449138,-0.21028551,-0.30373657,-0.2586036,-0.32019678,-0.20178016,-0.34366953,-0.11773817,-0.16077434,-0.29698318,-0.33927593,-0.13377178,-0.15234466,-0.17287329,-0.2669089,-0.24466763,-0.18435854,-0.12741679,-0.21650444,-0.24439326,-0.18029872,-0.28733364,-0.15995523,-0.21240285,-0.21205208,-0.12617232,-0.248665,-0.12728964,-0.37461787,-0.13958454,-0.11252664,-0.101720944,-0.023008827,-0.25052553,-0.31730118,-0.26139697,-0.21997683,-0.22825514,-0.14932558,-0.12258399,-0.3020413,-0.33601797,-0.19988932,-0.17448388,-0.23792824,-0.2241485,0.011236083,-0.1417844,-0.27176467,-0.14246982,-0.036687244,-0.024903946,-0.044651404,-0.054263607,0.061969504
2019/5/27,-0.31193063,-0.12991181,-0.2967259,-0.20372398,-0.23589599,-0.11662646,-0.22019385,-0.2555856,-0.2152128,-0.20676349,-0.27500096,-0.34370652,-0.13039933,-0.18567795,-0.11495243,-0.14472798,-0.17672813,-0.12350467,-0.15635803,-0.12783813,-0.1372552,-0.13080005,-0.24302135,-0.2847954,-0.23842502,-0.3010221,-0.171439,-0.14415443,-0.26687527,-0.29066086,-0.31263164,-0.34464565,-0.17540996,-0.21310857,-0.17578642,-0.11551939,-0.20097369,-0.23116761,-0.16607049,-0.30581105,-0.22863801,-0.2769434,-0.21335992,-0.32644612,-0.10886957,-0.16658986,-0.344687,-0.33358413,-0.1579677,-0.17097019,-0.1917121,-0.22298588,-0.20024054,-0.10688178,-0.22321065,-0.14430399,-0.2467499,-0.16680866,-0.21656834,-0.35691974,-0.20135932,-0.17057231,-0.118368916,-0.19437566,-0.12530535,-0.32205352,-0.12946403,-0.12812805,-0.057692587,-0.08515401,-0.24809673,-0.058093175,-0.2926667,-0.18681814,-0.23879698,-0.1273891,-0.15546297,-0.28677407,-0.30341002,-0.1824558,-0.14185941,-0.2181904,-0.25102085,0.089227736,-0.096367404,-0.2133195,-0.13371313,-0.07234712,-0.04675605,0.008591281,-0.0778347,0.06296972
2019/5/28,-0.33405197,-0.3881191,-0.4104128,-0.2495415,-0.36788562,-0.24066569,-0.36119297,-0.3979506,-0.34758708,-0.2653316,-0.38409176,-0.41559348,-0.28448933,-0.32328328,-0.24484846,-0.30982324,-0.29184127,-0.25020403,-0.25477734,-0.25980556,-0.25117356,-0.3512127,-0.25730318,-0.26118806,-0.28368658,-0.29150125,-0.17799485,-0.19889042,-0.2818882,-0.35110453,-0.25295213,-0.3080307,-0.24207275,-0.24665034,-0.23043804,-0.16389951,-0.27000764,-0.3215229,-0.29950303,-0.33978295,-0.38910562,-0.36490557,-0.30737537,-0.41097367,-0.23574775,-0.31127152,-0.3731314,-0.40921122,-0.24545142,-0.3076953,-0.26157233,-0.33322886,-0.28575742,-0.2716276,-0.20261039,-0.24485917,-0.28626195,-0.29597208,-0.32600316,-0.25804368,-0.12719022,-0.26248363,-0.24477664,-0.3575689,-0.26017782,-0.42074484,-0.27817446,-0.2237212,-0.20053875,-0.15697616,-0.29776892,-0.18729454,-0.37067398,-0.32256117,-0.32957217,-0.24278909,-0.23148555,-0.3655233,-0.44779015,-0.300083,-0.22107185,-0.2928804,-0.31606522,-0.073122635,-0.19885427,-0.3352233,-0.24301851,-0.118664816,-0.17700948,-0.10698999,-0.0630552,-0.08875783
2019/5/29,-0.30668217,-0.31034493,-0.4081877,-0.281794,-0.38259628,-0.2600813,-0.35292888,-0.38552663,-0.32971218,-0.28747764,-0.380307,-0.43932936,-0.23580018,-0.37624648,-0.2116686,-0.2855362,-0.31633604,-0.26330647,-0.27369195,-0.2565371,-0.28773636,-0.51645434,-0.3153102,-0.32191378,-0.3371768,-0.3689515,-0.20197697,-0.24221611,-0.34679252,-0.37846896,-0.35616702,-0.35723558,-0.26792905,-0.2838875,-0.28340715,-0.22268787,-0.30008996,-0.3325454,-0.32872307,-0.34615695,-0.24089572,-0.3944748,-0.34995848,-0.4091739,-0.26978198,-0.32758045,-0.38780236,-0.41765586,-0.24472982,-0.3331774,-0.3164386,-0.37361425,-0.29440412,-0.28554723,-0.21802333,-0.25559986,-0.35128573,-0.3021363,-0.31322497,-0.30112684,-0.27055022,-0.2624223,-0.2777533,-0.36005804,-0.28564504,-0.4271918,-0.1859887,-0.24482124,-0.23366618,-0.18465456,-0.3241745,-0.24211891,-0.40240234,-0.3841208,-0.37974277,-0.28154665,-0.279843,-0.41213092,-0.41876662,-0.3572037,-0.28754216,-0.3548792,-0.36236984,-0.1252117,-0.23162885,-0.32361338,-0.24269563,-0.19057184,-0.20458718,-0.09983684,-0.28239444,-0.1458579
2019/5/30,-0.3080876,-0.31788182,-0.42488617,-0.2873922,-0.5218539,-0.25797924,-0.37062097,-0.39379054,-0.35360876,-0.3080471,-0.3976416,-0.47583058,-0.2351754,-0.31289253,-0.22495623,-0.3045178,-0.3046629,-0.26714244,-0.26057193,-0.2822247,-0.36922407,-0.32804054,-0.32919717,-0.3291068,-0.33338165,-0.36022937,-0.2261081,-0.10567415,-0.35708004,-0.37949464,-0.36461928,-0.30149576,-0.26149157,-0.23355326,-0.29080993,-0.22607669,-0.29796767,-0.33195877,-0.33280528,-0.36225873,-0.34139514,-0.36880738,-0.47315127,-0.43980187,-0.26899096,-0.34354857,-0.41311207,-0.4278951,-0.2798589,-0.33682486,-0.31430796,-0.38988522,-0.294869,-0.31851846,-0.3092904,-0.26296586,-0.33597562,-0.29097778,-0.31730586,-0.28693154,-0.28730947,-0.28410318,-0.255985,-0.35035577,-0.28281996,-0.44838613,-0.2510303,-0.23491707,-0.22915962,-0.18634559,-0.35131842,-0.2684465,-0.41366324,-0.39053977,-0.3985188,-0.28340074,-0.28182942,-0.42521003,-0.40006053,-0.36069506,-0.3096291,-0.3134302,-0.3692066,-0.14169778,-0.24094218,-0.3553895,-0.24722773,-0.19187394,-0.21611017,-0.0428228,-0.089549735,-0.14074807
2019/5/31,-0.22675215,-0.2998735,-0.35726812,-0.29139304,-0.35300776,-0.22078831,-0.32856336,-0.35651615,-0.29341152,-0.24483769,-0.33741656,-0.39884782,-0.21783856,-0.26532397,-0.31890726,-0.37946838,-0.28980646,-0.23710269,-0.24411333,-0.20107564,-0.23473747,-0.326058,-0.2869482,-0.28321195,-0.3784687,-0.2998582,-0.23277506,-0.25039354,-0.38321745,-0.39509016,-0.30912438,-0.34300667,-0.23285913,-0.17945167,-0.2436962,-0.2177046,-0.2792252,-0.2137129,-0.2946863,-0.25608045,-0.2585257,-0.32857615,-0.33319637,-0.3585414,-0.2512968,-0.40710005,-0.33288002,-0.37095964,-0.29338402,-0.32230756,-0.19657965,-0.3550707,-0.2536739,-0.32006133,-0.224767,-0.20296039,-0.277886,-0.24106845,-0.28023398,-0.2546126,-0.23676561,-0.22825846,-0.2347591,-0.3003301,-0.26711887,-0.37774587,-0.17713702,-0.22876213,-0.19500908,-0.20145442,-0.27481085,-0.2016998,-0.39449877,-0.32636026,-0.3854849,-0.27229762,-0.24186486,-0.3946064,-0.36248654,-0.31551453,-0.23577528,-0.30267856,-0.46469507,-0.11739212,-0.20554906,-0.29229447,-0.16753846,-0.097215146,-0.18946557,-0.016068218,-0.16664352,-0.10665507
2019/6/3,-0.18240663,-0.3410797,-0.46505332,-0.33351272,-0.40699363,-0.27482665,-0.40582904,-0.431754,-0.37716752,-0.34476265,-0.42872652,-0.47708496,-0.39609364,-0.32650176,-0.27145404,-0.3385095,-0.32326075,-0.2677754,-0.23352776,-0.30570245,-0.29184988,-0.36793724,-0.35514176,-0.36556143,-0.3542037,-0.39769334,-0.34725958,-0.2923028,-0.39379963,-0.40780118,-0.44577572,-0.4038996,-0.3832627,-0.2764712,-0.3015279,-0.2604939,-0.30731177,-0.35941362,-0.34381765,-0.38712937,-0.3679895,-0.37760875,-0.3685187,-0.49027666,-0.474921,-0.37062004,-0.45142752,-0.4668259,-0.349598,-0.3623858,-0.3396454,-0.41656032,-0.32366088,-0.38142627,-0.31756037,-0.30214342,-0.35605118,-0.3375065,-0.35855412,-0.3169333,-0.35132813,-0.3193161,-0.36824533,-0.3109213,-0.34728035,-0.48294693,-0.28953,-0.48929197,-0.2738727,-0.35320696,-0.38048273,-0.31060416,-0.47672272,-0.39782545,-0.42427033,-0.39280266,-0.29412198,-0.4457264,-0.46508425,-0.3619542,-0.3288577,-0.36313635,-0.38288116,-0.16164856,-0.32955337,-0.39260688,-0.28931084,-0.21423861,-0.29511672,-0.066117756,-0.21278666,-0.16270378
