date,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,C_1,C_2,C_3,D_1,D_2,E_1,E_2,E_3,F_1,F_2,F_3,F_4,G_3,ind
2013-01-04 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.5,1.742958755,0.346388263,0.4566,1.5158,4.08,0.3524,1.3023,0.01799308,0.04100438,0.26,26.7,95.59,0.109378351
2013-01-07 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.54,1.162060439,0.367590547,0.4558,1.4284,3.21,1.2004,1.3139,0.01799308,0.04100438,0.24,26.7,95.59,0.073496776
2013-01-08 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.48,1.144677425,-0.406500508,0.4709,1.4117,3.17,1.2504,1.3488,0.01799308,0.04100438,0.24,26.7,95.59,0.065327885
2013-01-09 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.46,1.091794189,-0.032072827,0.5038,1.4051,3.036,1.3757,1.3795,0.01799308,0.04100438,0.24,26.7,95.59,0.063816484
2013-01-10 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.51,1.179164433,0.365659638,0.5112,1.3432,3.0039,1.4014,1.3822,0.01799308,0.04100438,0.24,26.7,95.59,0.063399552
2013-01-11 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.32,2.419799795,-1.780475202,0.5123,1.3325,2.76,1.6542,1.377,0.01799308,0.04100438,0.23,26.7,95.59,0.061639381
2013-01-14 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.67,3.678555506,3.064645564,0.5351,1.3436,2.8,1.6063,1.3787,0.01799308,0.04100438,0.22,26.7,95.59,0.073414404
2013-01-15 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.72,1.014820006,0.603008989,0.5473,1.3321,2.87,1.5292,1.3746,0.01799308,0.04100438,0.21,26.7,95.59,0.071074601
2013-01-16 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.63,2.031663857,-0.695710502,0.5517,1.3299,2.8,1.6123,1.3795,0.01799308,0.04100438,0.22,26.7,95.59,0.068432571
2013-01-17 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.51,1.286858627,-1.064732626,0.5562,1.3001,2.81,1.5953,1.3818,0.01799308,0.04100438,0.23,26.7,95.59,0.072012466
2013-01-18 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.66,1.686718514,1.407495262,0.5355,1.3203,2.88,1.5101,1.4258,0.01799308,0.04100438,0.22,26.7,95.59,0.073253955
2013-01-21 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.71,1.056506709,0.481211185,0.5748,1.3324,3.0141,1.409,1.4571,0.01799308,0.04100438,0.22,26.7,95.59,0.073925875
2013-01-22 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.66,1.482248241,-0.561802579,0.6125,1.3469,3.0006,1.406,1.4923,0.01799308,0.04100438,0.22,26.7,95.59,0.071800615
2013-01-23 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.69,1.236642276,0.249228988,0.627,1.3173,3,1.4152,1.4937,0.01799308,0.04100438,0.22,26.7,95.59,0.075478535
2013-01-24 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.62,3.259066487,-0.788914693,0.6327,1.317,2.7571,1.576,1.4867,0.01799308,0.04100438,0.22,26.7,95.59,0.076351168
2013-01-25 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.56,0.873794841,-0.490749587,0.6201,1.2836,2.71,1.702,1.4845,0.01799308,0.04100438,0.22,26.7,95.59,0.081125984
2013-01-28 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.84,2.250687383,2.409112731,0.5779,1.2717,2.98,1.408,1.464,0.01799308,0.04100438,0.23,26.7,95.59,0.078196512
2013-01-29 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.89,1.127210739,0.531855956,0.6443,1.3116,3.13,1.3005,1.4823,0.01799308,0.04100438,0.23,26.7,95.59,0.079065879
2013-01-30 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.03,1.520572451,0.99619327,0.5676,1.1997,3.24,1.164,1.3824,0.01799308,0.04100438,0.23,26.7,95.59,0.079361569
2013-01-31 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.06,0.864225513,0.123400826,0.6494,1.2683,3.24,1.167,1.4732,0.017970883,0.048078593,0.23,26.7,95.59,0.077272225
2013-02-01 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.24,2.162302655,1.408556984,0.6396,1.2094,3.35,1.06,1.448,0.017970883,0.048078593,0.24,1,95.59,0.070142494
2013-02-04 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.29,0.942530446,0.377425569,0.5536,1.1372,3.4,1,1.3638,0.017970883,0.048078593,0.23,1,95.59,0.072923964
2013-02-05 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.29,1.405185017,0.205094413,0.5581,1.1551,3.31,1.062,1.3642,0.017970883,0.048078593,0.23,1,95.59,0.071612637
2013-02-06 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.3,0.576623526,0.055484088,0.5559,1.1143,3.69,0.704,1.3644,0.017970883,0.048078593,0.22,1,95.59,0.077154128
2013-02-07 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.2,1.629506096,-0.655170714,0.5524,1.0675,4.1004,0.3,1.3645,0.017970883,0.048078593,0.22,1,95.59,0.074738252
2013-02-08 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.26,1.183776922,0.573488855,0.553,1.0499,3.52,0.887,1.3631,0.017970883,0.048078593,0.22,1,95.59,0.077867195
2013-02-18 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.2,1.207449433,-0.445650386,0.6879,1.1413,2.9325,1.4714,1.5052,0.017970883,0.048078593,0.22,1,95.59,0.074876347
2013-02-19 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.02,2.21097144,-1.596078561,0.6623,1.0955,2.96,1.451,1.4705,0.017970883,0.048078593,0.17,1,95.59,0.081338253
2013-02-20 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,12.07,1.146917005,0.598847627,0.6638,1.0735,2.96,1.451,1.4668,0.017970883,0.048078593,0.17,1,95.59,0.087043972
2013-02-21 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.71,2.905497293,-2.971408071,0.6797,1.0918,2.9983,1.402,1.494,0.017970883,0.048078593,0.16,1,95.59,0.090101204
2013-02-22 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.64,0.951009265,-0.506889658,0.667,1.0473,3.08,1.309,1.4691,0.017970883,0.048078593,0.16,1,95.59,0.096999736
2013-02-25 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.7,1.027154561,0.50385453,0.6753,1.0454,3.31,1.09,1.462,0.017970883,0.048078593,0.17,1,95.59,0.096614404
2013-02-26 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.54,2.185035815,-1.396496719,0.5833,0.9846,3.79,0.589,1.3633,0.017970883,0.048078593,0.15,1,95.59,0.097546891
2013-02-27 00:00:00,15.2,50.4,104.5,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.64,1.421507496,0.866857945,0.6088,1.0794,4.22,0.175,1.3826,0.017970883,0.048078593,0.18,1,95.59,0.094810002
