date,C_1,C_2,C_3,D_1,D_2,E_1,E_2,E_3,F_3,ind
2015/1/5,14.91,3.567586284,3.581188866,0.2227,0.6306,4.49,0.0179,1.4391,0.22,0.082044953
2015/1/6,14.89,2.717190167,0.027756885,0.2518,0.6021,4.06,0.5045,1.4668,0.22,0.073327074
2015/1/7,14.96,1.87053365,0.671351206,0.3401,0.7084,3.87,0.8746,1.587,0.22,0.070385883
2015/1/8,14.57,2.859556306,-2.385631085,0.3209,0.5972,3.74,1.0038,1.571,0.22,0.071017039
2015/1/9,14.57,4.169475263,-0.244423797,0.3394,0.6053,3.8,1.011,1.5765,0.22,0.076784661
2015/1/12,14.33,2.544887853,-1.707245062,0.3117,0.5746,3.82,0.988,1.5539,0.22,0.079944487
2015/1/13,14.34,1.392862894,0.185178304,0.2609,0.5164,3.84,1.02,1.5411,0.22,0.077317847
2015/1/14,14.31,2.302723086,-0.397490186,0.2149,0.4223,3.9,0.913,1.5214,0.21,0.083864978
2015/1/15,14.84,4.019935204,3.538312583,0.2183,0.3307,3.84,0.9091,1.5359,0.22,0.090404569
2015/1/16,15.03,1.793217962,1.20007433,0.202,0.2691,3.94,0.9041,1.557,0.22,0.087853598
2015/1/19,13.82,4.950096254,-7.704723826,0.2095,0.2291,3.75,0.9245,1.5772,0.22,0.089625697
2015/1/20,14.04,2.880613538,1.819436199,0.2,0.1484,3.73,0.9815,1.5839,0.23,0.094058881
2015/1/21,14.74,5.000236366,4.744961472,0.1835,0.1229,4,0.945,1.5693,0.23,0.100420001
2015/1/22,14.81,1.757125535,0.593631623,0.1572,0.0678,4.15,0.897,1.5626,0.23,0.095616506
2015/1/23,14.86,2.34795145,0.251843964,0.1074,0.1201,3.92,0.7458,1.5365,0.24,0.098783872
2015/1/26,14.97,1.894228704,0.937417954,0.1767,0.3011,3.9,0.8548,1.6245,0.23,0.097897487
2015/1/27,14.82,2.955798982,-0.893242452,0.191,0.4202,3.9,0.8858,1.6476,0.23,0.097310599
2015/1/28,14.6,1.793639053,-1.408307883,0.231,0.5024,3.93,0.8808,1.6637,0.23,0.094848615
2015/1/29,14.41,1.589659199,-1.314077937,0.2756,0.643,4,0.85,1.6899,0.22,0.091943015
2015/1/30,14.18,2.396775281,-1.592128253,0.2986,0.6924,4.11,0.757,1.6843,0.23,0.09803299
2015/2/2,13.8,1.637199566,-2.556099627,0.2771,0.7512,4.6,0.5278,1.6844,0.23,0.084491813
2015/2/3,14.15,2.500079916,2.448933926,0.2639,0.8311,4.5,0.3923,1.6914,0.24,0.084775776
2015/2/4,14.01,2.116752108,-0.960401384,0.2374,0.8914,4.51,0.3616,1.6609,0.25,0.086482447
2015/2/5,13.84,3.635326845,-1.184576561,0.0989,0.7237,4.5,0.371,1.5605,0.24,0.092490145
2015/2/6,13.57,2.442189298,-1.932709077,0.284,0.9745,4.45,0.4203,1.7388,0.24,0.086093258
2015/2/9,13.67,2.273148434,0.624530627,0.242,0.9471,4.35,0.444,1.6961,0.25,0.080444403
2015/2/10,13.88,1.869071312,1.501395746,0.2065,0.9917,4.34,0.458,1.6725,0.25,0.078000944
2015/2/11,13.96,0.871214894,0.51279766,0.1938,1.0724,4.5,0.36,1.6778,0.25,0.066285564
2015/2/12,14.03,1.505209488,0.4978307,0.2255,1.1891,4.7,0.1814,1.7422,0.24,0.074155603
2015/2/13,14.16,1.713293545,0.958272148,0.1438,1.1018,4.68,0.1225,1.6849,0.24,0.07815414
