date,AccountsPayablesTDays,AccountsPayablesTRate,BLEV,CurrentRatio,DebtEquityRatio,DilutedEPS,DVRAT,EPS,EquityToAsset,GrossIncomeRatio,HBETA,HSIGMA,LFLO,MA10,MA120,MA20,MA5,MA60,MLEV,NetAssetGrowRate,NetProfitGrowRate,PB,PE,REVS10,REVS20,REVS5,ROA,ROE,VOL10,VOL120,VOL20,VOL5,VOL60,EARNMOM,FiftyTwoWeekHigh,Skewness,TVMA20,TVSTD20,VEMA26,VMACD,VR,VSTD20,KlingerOscillator,MoneyFlow20,MTM,Hurst,T_1closing_price
2010-1-4 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0327,5.3499,0.8493,0.903,0.5473,0.0176,25.8009,169.5653,162.4978,170.859,170.088,167.1717,1.0001,0.3154,0.0164,11.5053,36.1101,1.0283,0.9944,0.9971,0.31,0.3761,0.0032,0.0031,0.0029,0.0037,0.0031,6,0.9067,0.0088,462.2966,177.3208,2925401.346,422853.3892,0.7963,1027490.156,-0.0943,9256243391,4.6806,0.4521,0
2010-1-5 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0326,5.3499,0.8493,0.903,0.5547,0.0175,25.7979,169.7323,162.6417,170.5045,169.8962,167.2121,1.0001,0.3154,0.0164,11.4714,36.0039,1.01,0.9598,0.9944,0.31,0.3761,0.0033,0.0031,0.0028,0.0037,0.0032,6,0.9003,-0.0214,448.6342,158.7594,2942135.913,312362.3788,0.6335,937057.2573,-0.09,8981204017,1.6704,0.4633,169.94
2010-1-6 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0316,5.3499,0.8493,0.903,0.5589,0.0174,25.782,169.7212,162.7541,170.1145,169.008,167.2266,1.0001,0.3154,0.0164,11.29,35.4344,0.9993,0.9553,0.9741,0.31,0.3761,0.0035,0.0031,0.0029,0.0041,0.0032,6,0.8661,0.1362,459.1083,166.0546,3019674.215,332726.8278,0.6042,984789.7467,-0.1099,9190991748,-0.1113,0.4978,169.44
2010-1-7 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0313,5.3499,0.8493,0.903,0.56,0.0174,25.7636,169.325,162.8409,169.66,167.9359,167.2172,1.0001,0.3154,0.0164,11.0842,34.7885,0.9764,0.9474,0.9683,0.31,0.3761,0.0038,0.0031,0.003,0.0041,0.0032,6,0.8273,0.0509,483.779,178.6065,3157665.385,440439.184,0.5715,1072504.342,-0.1503,9684637368,-3.9614,0.5198,166.76
2010-1-8 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0327,5.3499,0.8493,0.903,0.5538,0.0173,25.753,168.28,162.9407,169.039,166.372,167.2316,1.0001,0.3154,0.0164,10.9677,34.423,0.9394,0.9288,0.954,0.31,0.3761,0.0038,0.0031,0.0031,0.0043,0.0032,6,0.8053,-0.2031,499.2031,173.7622,3195631.578,327449.4616,0.5643,1047060.089,-0.1954,9994252394,-10.4503,0.5402,163.72
2010-1-11 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0337,5.3499,0.8493,0.903,0.5617,0.0173,25.7486,167.365,163.0477,168.358,164.6421,167.2534,1.0001,0.3154,0.0164,10.9197,34.2721,0.9463,0.9221,0.9491,0.31,0.3761,0.0038,0.0031,0.0032,0.0038,0.0032,6,0.7963,-0.4523,504.4778,168.6042,3140110.943,79803.745,0.4378,1009801.243,-0.2048,10101035130,-9.1497,0.5253,162
2010-1-12 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0313,5.3499,0.8493,0.903,0.5627,0.0173,25.7753,166.8901,163.1955,167.9216,163.884,167.3061,1.0001,0.3154,0.0164,11.2148,35.1986,0.9721,0.9499,0.9776,0.31,0.3761,0.0038,0.0031,0.0032,0.0038,0.0032,6,0.8519,-0.5341,511.5084,165.5512,3137609.392,1067.105,0.5335,988446.8696,-0.1866,10241830538,-4.7496,0.5421,161.29
2010-1-13 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0301,5.3499,0.8493,0.903,0.5657,0.0173,25.7496,165.914,163.3066,167.3476,162.82,167.2395,1.0001,0.3154,0.0164,10.9298,34.304,0.943,0.9336,0.9681,0.31,0.3761,0.004,0.0031,0.0033,0.0038,0.0032,6,0.7982,-0.5553,524.6071,163.2209,3186115.659,35626.0176,0.5104,974272.3624,-0.1931,10497990858,-9.7608,0.5476,165.65
2010-1-14 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0277,5.3499,0.8493,0.903,0.5696,0.0175,25.7926,165.8599,163.4834,167.3046,163.784,167.3671,1.0001,0.3154,0.0164,11.4105,35.8126,0.9968,0.9949,1.0294,0.31,0.3761,0.0039,0.0031,0.0034,0.0037,0.0032,6,0.8873,-0.5347,535.5968,172.5555,3294215.536,160607.9318,0.5751,1031352.437,-0.1636,10715581586,-0.5406,0.5024,161.44
2010-1-15 0:00,-307.2197,-1.1718,1.0007,5.1129,0.1809,4.01,0.0276,5.3499,0.8493,0.903,0.5701,0.0174,25.8005,165.865,163.6706,167.4811,165.3579,167.5496,1.0001,0.3154,0.0164,11.5006,36.0953,1.0003,1.0212,1.0486,0.31,0.3761,0.0041,0.0031,0.0035,0.0039,0.0032,6,0.9039,-0.6647,551.5273,180.6698,3390484.756,219884.158,0.6383,1071666.031,-0.1119,11030904758,0.0501,0.5175,168.54
