date,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,C_1,C_2,C_3,D_1,D_2,E_1,E_2,E_3,F_1,F_2,F_3,F_4,G_3,ind
2013-01-04 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.50722387,1.845481858,0.457659821,0.452681338,1.514977663,4.106820765,0.323380085,1.291863493,0.01799308,0.04100438,0.260499894,26.7,95.59,0.109378351
2013-01-07 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.50368332,1.46191302,0.230593792,0.461845453,1.472622849,3.673917608,0.749852313,1.317087299,0.01799308,0.04100438,0.251297597,26.7,95.59,0.073496776
2013-01-08 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.50886628,0.981505621,0.011871152,0.476190262,1.411758856,3.052620474,1.361814917,1.352706514,0.01799308,0.04100438,0.237155744,26.7,95.59,0.065327885
2013-01-09 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.45782823,1.135679975,-0.349630412,0.492382834,1.376613507,2.932475074,1.47872878,1.370778852,0.01799308,0.04100438,0.23728314,26.7,95.59,0.063816484
2013-01-10 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.39491566,1.418535107,-0.818729519,0.509604705,1.348959134,2.954891623,1.45492471,1.383059059,0.01799308,0.04100438,0.241272121,26.7,95.59,0.063399552
2013-01-11 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.49805308,2.140549266,0.363139028,0.52247732,1.34120222,2.876213149,1.531252157,1.38218521,0.01799308,0.04100438,0.229985835,26.7,95.59,0.061639381
2013-01-14 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.64623575,2.951823145,2.021011741,0.532581459,1.34248689,2.80604234,1.599153576,1.378005491,0.01799308,0.04100438,0.215561556,26.7,95.59,0.073414404
2013-01-15 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.64065793,2.384227569,0.799749738,0.543720612,1.331012026,2.791976789,1.614033811,1.373670351,0.01799308,0.04100438,0.216515102,26.7,95.59,0.071074601
2013-01-16 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.59508981,1.419516789,-1.207333325,0.556478201,1.319217905,2.806570639,1.601822231,1.372318019,0.01799308,0.04100438,0.221838965,26.7,95.59,0.068432571
2013-01-17 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.61377893,1.323060685,-0.434558227,0.550353358,1.316757512,2.847431262,1.557571005,1.393507776,0.01799308,0.04100438,0.222507722,26.7,95.59,0.072012466
2013-01-18 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.6398343,1.490076419,1.011583325,0.539912434,1.31621713,2.887154379,1.511069227,1.421119321,0.01799308,0.04100438,0.22239928,26.7,95.59,0.073253955
2013-01-21 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.66979653,1.360916067,0.62739099,0.572217327,1.328265527,2.972026352,1.435754511,1.45639544,0.01799308,0.04100438,0.22133003,26.7,95.59,0.073925875
2013-01-22 00:00:00,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.70806958,1.176921352,-0.10651561,0.613747321,1.342737581,3.071165246,1.351643019,1.491358332,0.01799308,0.04100438,0.220296643,26.7,95.59,0.071800615
