date,C_1,C_2,C_3,D_1,D_2,E_1,E_2,E_3,F_3,ind
2012/7/2,11.21,0.876684506,0.030555893,0.7053,1.3118,4.1632,0.5859,2.1993,0.36,0.038657782
2012/7/3,11.23,1.15807395,0.138357943,0.6816,1.3127,4.21,0.5707,2.1934,0.37,0.0378368
2012/7/4,11.22,0.889112189,-0.084335566,0.6822,1.2678,3.88,0.8731,2.1801,0.37,0.041127001
2012/7/5,11.11,1.148021605,-1.165531516,0.6755,1.2754,4.04,0.7281,2.1818,0.38,0.045945403
2012/7/6,11.2,1.905648806,1.009834874,0.6826,1.2488,3.45,1.2568,2.1912,0.38,0.038951388
2012/7/9,10.95,2.162728573,-2.373199975,0.6826,1.2488,3.347,1.3293,2.1912,0.37,0.048400319
2012/7/10,10.92,0.988571086,-0.293438855,0.6068,1.2768,3.323,1.33,2.1598,0.37,0.048468453
2012/7/11,10.96,0.918944392,0.505442516,0.5884,1.2834,3.273,1.3514,2.1349,0.36,0.044830629
2012/7/12,11,2.039643648,0.464746389,0.6115,1.2748,3.2015,1.4057,2.1445,0.36,0.043031122
2012/7/13,11.01,0.948986269,0.018760095,0.6075,1.2831,3.3365,1.2404,2.1084,0.36,0.047293418
2012/7/16,10.83,1.917288074,-1.735669518,0.653,1.3006,3.2776,1.286,2.1049,0.36,0.052859575
2012/7/17,10.9,1.110355873,0.615933258,0.6676,1.3317,3.2774,1.2736,2.0971,0.36,0.049691019
2012/7/18,10.93,1.45799305,0.366002064,0.6785,1.3445,3.46,1.0935,2.0898,0.37,0.050566528
2012/7/19,11.01,1.744963349,0.725646582,0.6687,1.3237,3.56,1.0163,2.078,0.36,0.049161196
2012/7/20,10.94,1.083374526,-0.74147306,0.6554,1.3715,3.58,0.9636,2.0675,0.36,0.053828041
2012/7/23,10.79,0.858141508,-1.256086764,0.6635,1.4431,3.56,0.9681,2.0654,0.35,0.059012288
2012/7/24,10.8,1.304753899,0.242364808,0.6499,1.4512,3.38,1.1451,2.0435,0.35,0.053706979
2012/7/25,10.75,0.867422284,-0.486352773,0.6164,1.4306,3.35,1.1761,2.0072,0.35,0.057541753
2012/7/26,10.71,1.100110011,-0.475153898,0.6012,1.3823,3.38,1.1319,1.9648,0.34,0.055918509
2012/7/27,10.73,0.871119473,0.129821261,0.5692,1.3568,3.13,1.3945,1.927,0.34,0.052748778
2012/7/30,10.64,1.414438452,-0.885492024,0.5888,1.3276,3.1332,1.3715,1.9196,0.34,0.053886429
2012/7/31,10.63,0.789133186,-0.297643027,0.6142,1.4252,3.37,1.1396,1.8938,0.33,0.065863651
2012/8/1,10.73,1.378569425,0.937902578,0.548,1.3969,3.425,1.0721,1.8642,0.34,0.059526058
2012/8/2,10.67,1.081305101,-0.57361917,0.531,1.3572,3.53,0.9808,1.8418,0.35,0.068395909
2012/8/3,10.77,1.181329872,1.024071846,0.5559,1.3757,3.44,1.08,1.8145,0.35,0.066301687
2012/8/6,10.87,1.473180795,1.037134284,0.4783,1.258,3.45,1.0646,1.6866,0.34,0.060647343
2012/8/7,10.87,0.500250589,0.125294675,0.5458,1.4249,3.27,1.2006,1.712,0.33,0.071186024
2012/8/8,10.9,0.728117092,0.156190617,0.5827,1.437,3.27,1.1986,1.6917,0.33,0.071994697
2012/8/9,10.96,1.242486083,0.606666389,0.5132,1.466,3.32,1.1377,1.7244,0.33,0.066863756
2012/8/10,10.93,0.52941447,-0.243319075,0.4907,1.4249,3.31,1.1452,1.7048,0.34,0.072852545
2012/8/13,10.79,1.359731835,-1.509122514,0.5786,1.4294,3.34,1.1038,1.6907,0.32,0.074340648
2012/8/14,10.82,1.159132617,0.301486836,0.5941,1.4142,3.35,1.0987,1.6801,0.33,0.075015453
2012/8/15,10.7,0.963351567,-1.100106417,0.5932,1.3862,3.456,1.0403,1.614,0.34,0.082461684
2012/8/16,10.67,0.614455273,-0.318554001,0.5305,1.2933,3.55,0.9153,1.5661,0.34,0.081563121
2012/8/17,10.69,0.94309251,0.127355364,0.5102,1.3172,3.92,0.5396,1.5622,0.34,0.072849381
