date,TRUE,DWT-Informer,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_2_1,C_2_2,C_2_3,C_2_4,C_2_5,C_2_6,C_2_7,C_2_8,C_2_9,C_2_10,C_3_1,C_3_2,C_3_3,C_3_4,C_3_5,C_3_6,C_3_7,C_3_8,C_3_9,C_3_10,D_1_1,D_1_2,D_1_3,D_1_4,D_1_5,D_1_6,D_1_7,D_1_8,D_1_9,D_1_10,D_2_1,D_2_2,D_2_3,D_2_4,D_2_5,D_2_6,D_2_7,D_2_8,D_2_9,D_2_10,E_1_1,E_1_2,E_1_3,E_1_4,E_1_5,E_1_6,E_1_7,E_1_8,E_1_9,E_1_10,E_2_1,E_2_2,E_2_3,E_2_4,E_2_5,E_2_6,E_2_7,E_2_8,E_2_9,E_2_10,E_3_1,E_3_2,E_3_3,E_3_4,E_3_5,E_3_6,E_3_7,E_3_8,E_3_9,E_3_10,F_3_1,F_3_2,F_3_3,F_3_4,F_3_5,F_3_6,F_3_7,F_3_8,F_3_9,F_3_10
2019/5/21,-0.24173608,-0.3733,-0.3979985,-0.4905112,-0.39867777,-0.18299711,-0.4310583,-0.32166085,-0.5826694,-0.4406968,-0.36492428,-0.26356503,-0.3429502,-0.40689516,-0.3824986,-0.36841658,-0.44616103,-0.38110295,-0.3139506,-0.4799748,-0.38711086,-0.40236342,-0.19201925,-0.33397967,-0.41675875,-0.43918753,-0.2687582,-0.26959655,-0.32099172,-0.3967709,-0.3266425,-0.3939996,-0.4135902,-0.29349494,-0.34898105,-0.43001598,-0.33453122,-0.539306,-0.5545339,-0.3309489,-0.46152425,-0.2629395,-0.28789377,-0.07197599,-0.16199782,-0.17582357,-0.2689659,-0.41677245,-0.1538208,-0.50728273,-0.3734219,-0.48767817,-0.28447476,-0.36155698,-0.37579584,-0.17665899,-0.47359234,-0.29457563,-0.28337234,-0.45734763,-0.13827546,-0.3423513,-0.11415329,-0.52362084,-0.26557854,-0.28256214,-0.34381217,-0.1701821,-0.2557971,-0.27208215,-0.23417975,-0.62559223,-0.053653434,-0.24609959,-0.23651189,-0.30947933,-0.1399933,-0.4941795,-0.48543817,-0.18938956,-0.09594822,-0.2753547,-0.42718866,-0.10250768,-0.23958902,-0.44491613,-0.30292928,-0.22030291,-0.0368878,-0.120335296,0.08444635,-0.06455069
2019/5/22,-0.2597994,-0.2847,-0.34008908,-0.37751457,-0.27797133,-0.41663286,-0.3522228,-0.5055364,-0.42891687,-0.50650096,-0.30188334,-0.39277923,-0.36400047,-0.40669987,-0.41125435,-0.3004613,-0.35445824,-0.36233753,-0.39564753,-0.487665,-0.3303949,-0.47639155,-0.38893557,-0.48624492,-0.4137149,-0.4966882,-0.28292617,-0.2100336,-0.34659654,-0.33488125,-0.3711971,-0.40799913,-0.28873056,-0.3036462,-0.34839162,-0.3691657,-0.33945528,-0.29982224,-0.284023,-0.34056857,-0.40291274,-0.4994979,-0.23819372,-0.35705006,-0.25023037,-0.47804627,-0.42434645,-0.57850474,-0.3587954,-0.52361834,-0.3182646,-0.59416866,-0.35421053,-0.40946606,-0.33501428,-0.31004894,-0.32478768,-0.28690833,-0.33108515,-0.3089686,-0.44855684,-0.27193597,-0.4630129,-0.43163124,-0.20873237,-0.25596237,-0.34679103,-0.34476173,-0.11277901,-0.37369165,-0.28128648,-0.48030198,-0.24538931,-0.31212333,-0.5064681,-0.37810528,-0.50330484,-0.44721755,-0.43789846,-0.17600285,-0.19048652,-0.36086175,-0.3700431,-0.27026805,-0.23181008,-0.5418652,-0.46660075,-0.18741685,-0.24028563,-0.16232012,-0.23858795,-0.1369475
2019/5/23,-0.2155283,-0.3477,-0.4114914,-0.35332102,-0.25244844,-0.1989512,-0.4090984,-0.31686684,-0.4566024,-0.4001197,-0.40300703,-0.43495885,-0.37018126,-0.547483,-0.3329996,-0.28490233,-0.26302883,-0.3875618,-0.43114537,-0.68888646,-0.43251082,-0.26165578,-0.46796727,-0.3403445,-0.35489115,-0.57256466,-0.18615198,-0.23205999,-0.33976835,-0.224799,-0.40538442,-0.41622084,-0.13669997,-0.3270938,-0.30695876,-0.30272427,-0.2752732,-0.45519683,-0.47975302,-0.40746272,-0.4516421,-0.4071437,-0.36405158,-0.4667169,-0.4030781,-0.3287825,-0.35800385,-0.50904644,-0.38717768,-0.5250035,-0.39701363,-0.5315606,-0.2622661,-0.34439752,-0.28745174,-0.38238856,-0.41212976,-0.463281,-0.34072047,-0.3695572,-0.28220654,-0.35279825,-0.37572658,-0.35095525,-0.33811778,-0.40468147,0.033898357,-0.41886652,-0.22272225,-0.382305,-0.36464813,-0.38741758,-0.29026148,-0.2697783,-0.60050666,-0.21686986,-0.52881104,-0.49143946,-0.3623261,-0.25148523,-0.23254648,-0.48624375,-0.3247602,-0.12564497,-0.3901028,-0.3509866,-0.37937215,-0.19139689,-0.18013291,-0.044071674,-0.19791538,-0.042437352
2019/5/24,-0.30340526,-0.2911,-0.19846323,-0.46738073,-0.18824352,-0.16628218,-0.23580159,-0.33187956,-0.409879,-0.32781175,-0.40395066,-0.36289367,-0.32667112,-0.27884138,-0.20159516,-0.14195515,-0.3246179,-0.25223735,-0.2888984,-0.42223954,-0.37843037,-0.16352525,-0.3163338,-0.47373283,-0.32115558,-0.383133,-0.3180543,-0.20092133,-0.45810232,-0.2907371,-0.35424668,-0.40505448,-0.19738573,-0.22598547,-0.16974649,-0.44137076,-0.23180917,-0.24651746,-0.304251,-0.45443094,-0.28062904,-0.42626342,-0.23031077,-0.38843706,-0.28591573,-0.3998659,-0.2341784,-0.38082263,-0.41407293,-0.27423137,-0.26188236,-0.68577623,-0.44157267,-0.37340122,-0.36029541,-0.33127704,-0.41296753,-0.17866488,-0.12696594,-0.2574457,-0.27402914,-0.15370107,-0.40369812,-0.24477194,-0.10760601,-0.17573696,-0.03995341,-0.32073343,-0.09733011,-0.21214081,-0.30031937,-0.3878255,-0.044506714,-0.25039878,-0.5152729,-0.1075642,-0.3075024,-0.41765955,-0.5198003,-0.1720924,-0.073347524,-0.36538288,-0.45263565,-0.15252669,-0.14231426,-0.5639494,-0.25135556,-0.16079688,-0.19157678,-0.12692691,-0.11705666,0.037994392
2019/5/27,-0.31193063,-0.3229,-0.29746535,-0.34427062,-0.3940711,-0.33263388,-0.30656236,-0.28667027,-0.33461642,-0.39421508,-0.10695904,-0.2755387,-0.30039087,-0.3912867,-0.26499128,-0.48112598,-0.2874404,-0.42016184,-0.5229174,-0.392066,-0.45332608,-0.38565075,-0.40448418,-0.27060738,-0.3643092,-0.42357907,-0.41349885,-0.34906328,-0.37362096,-0.33329606,-0.54539335,-0.34046233,-0.31138828,-0.3465759,-0.3071263,-0.31087998,-0.3586178,-0.18918774,-0.2516281,-0.07394902,-0.33672443,-0.29925957,-0.24371812,-0.42749128,-0.27674285,-0.4118367,-0.35830665,-0.540881,-0.3454867,-0.38226992,-0.30982882,-0.44988537,-0.3159706,-0.2949688,-0.2354332,-0.19497487,-0.45472586,-0.20249082,-0.2430649,-0.2939735,-0.4142394,-0.1987059,-0.27788728,-0.37862867,-0.25449243,-0.22139746,-0.16864324,-0.16492535,-0.097950265,-0.26362076,-0.33736828,-0.34425658,-0.11520934,-0.23961553,-0.40487316,-0.3682982,-0.353203,-0.4784385,-0.26456505,-0.16546169,-0.23537573,-0.4452587,-0.48014724,0.026933562,-0.2677182,-0.45737576,-0.460434,-0.19174477,-0.111967504,0.15440181,-0.11224497,0.13835818
2019/5/28,-0.33405197,-0.2319,-0.41116852,-0.43233112,-0.33929473,-0.34856012,-0.44468397,-0.34820536,-0.40651247,-0.41506135,-0.30579165,-0.20753345,-0.3242906,-0.29776123,-0.5318456,-0.2885357,-0.24493575,-0.4605441,-0.37089676,-0.25165164,-0.26403907,-0.28422922,-0.16249344,-0.3585912,-0.29778096,-0.2788986,-0.4770704,-0.31486136,-0.34154272,-0.27414528,-0.2310958,-0.35002366,-0.31430495,-0.32243174,-0.2929404,-0.2653853,-0.27617365,-0.4073642,-0.3266563,-0.51127017,-0.33697307,-0.4841169,-0.3382288,-0.3422697,-0.41691262,-0.48622438,-0.24365804,-0.45025292,-0.35942802,-0.5040068,-0.19000365,-0.51638013,-0.4070892,-0.4058436,-0.077239394,-0.3248518,-0.47060263,-0.34064707,-0.20470311,-0.34088856,-0.31748027,-0.23312527,-0.24714923,-0.42855495,-0.33971033,-0.2963963,-0.22722223,-0.3025499,-0.33154708,-0.32793006,-0.24957226,-0.33796313,0.015419789,-0.4150779,-0.09294847,-0.5175203,-0.40762156,-0.4501435,-0.58304703,-0.2688545,-0.32123086,-0.5186043,-0.44138393,0.09176157,-0.30292597,-0.48770815,-0.22928758,-0.105907254,-0.3051747,-0.052871406,-0.08427106,-0.0065333303
2019/5/29,-0.30668217,-0.3944,-0.35733777,-0.37806007,-0.43462813,-0.46527413,-0.28712046,-0.27284002,-0.41156286,-0.36157262,-0.2457693,-0.33734983,-0.43413767,-0.5044901,-0.29910862,-0.2215725,-0.12900482,-0.2300362,-0.37287247,-0.4569223,-0.44399542,-0.4389039,-0.56521326,-0.30152383,-0.40110826,-0.45326436,-0.43296415,-0.3229267,-0.37716803,-0.4560672,-0.5460459,-0.33929893,-0.39184874,-0.31581306,-0.24375814,-0.37832075,-0.27355313,-0.3732688,-0.28379285,-0.43284896,-0.38170862,-0.41198644,-0.3284518,-0.5058589,-0.46948463,-0.38985512,-0.25883436,-0.6820083,-0.33752316,-0.41921657,-0.34505653,-0.45210063,-0.28026232,-0.45931423,-0.38484502,-0.3647189,-0.4566036,-0.30210236,-0.3400529,-0.3391024,-0.44012403,-0.4064196,-0.31587315,-0.35246694,-0.23200625,-0.22259653,-0.111889444,-0.4232064,-0.14487426,-0.29020658,-0.29712024,-0.37435216,-0.23452184,-0.3222783,-0.454224,-0.41759598,-0.43626988,-0.6665118,-0.3399846,-0.27211064,-0.22845608,-0.38660508,-0.45777625,0.0933437,-0.16386771,-0.3831694,-0.44160512,0.04163176,-0.35063115,-0.20185785,-9.894371e-05,-0.0568757
2019/5/30,-0.3080876,-0.2455,-0.33329603,-0.4864911,-0.24443339,-0.33683205,-0.17266132,-0.3816346,-0.46454662,-0.35065728,-0.33966812,-0.373934,-0.5402377,-0.4475391,-0.24730992,-0.33981618,-0.34629443,-0.3589081,-0.40105367,-0.35553133,-0.40582147,-0.39783233,-0.18837324,-0.2539146,-0.33432075,-0.3635931,-0.3565509,-0.28192812,-0.43059358,-0.3375616,-0.41367978,-0.4644455,-0.22428513,-0.3277467,-0.34025398,-0.36554313,-0.20164743,-0.382554,-0.1888031,-0.32808357,-0.3963705,-0.46078908,-0.36938363,-0.45581043,-0.43048328,-0.35793033,-0.2984795,-0.4889056,-0.3084668,-0.45450413,-0.4286129,-0.5569967,-0.28576896,-0.4018534,-0.2575449,-0.42950845,-0.44647026,-0.29824728,-0.32039368,-0.4158854,-0.43205565,-0.27777308,-0.34934774,-0.29870665,-0.17308164,-0.2794253,-0.19953206,-0.2989461,-0.26769787,-0.20167525,-0.37185785,-0.3976585,-0.23068649,-0.3339442,-0.39622095,-0.17742255,-0.19235052,-0.5386132,-0.4263512,-0.30496854,-0.33223847,-0.48720804,-0.4289129,0.14254853,-0.40719458,-0.4513464,-0.30923963,-0.22761288,-0.14888075,-0.0451999,-0.15820813,0.1227266
2019/5/31,-0.22675215,-0.3077,-0.33232984,-0.52790767,-0.40556985,-0.2870748,-0.34084606,-0.39598867,-0.33892363,-0.43144697,-0.4328588,-0.30817348,-0.35352764,-0.45889643,-0.21544975,-0.25293133,-0.44048825,-0.3596732,-0.27731222,-0.4633307,-0.44624808,-0.44185817,-0.34343517,-0.40541756,-0.46344656,-0.35876176,-0.23245557,-0.59089434,-0.25998756,-0.2692839,-0.39000988,-0.36022538,-0.2799004,-0.27858654,-0.38234073,-0.31325418,-0.21625713,-0.36176476,-0.40574488,-0.26284948,-0.4475543,-0.24851084,-0.39957213,-0.40194792,-0.36771512,-0.50213325,-0.35925135,-0.52330476,-0.42716515,-0.3424279,-0.48404932,-0.5072495,-0.33020756,-0.28517938,-0.17005323,-0.29558858,-0.36285406,-0.3878114,-0.2672677,-0.3207274,-0.3238203,-0.32402897,-0.28357825,-0.509812,-0.33814493,-0.34618938,-0.26306504,-0.34118164,-0.26115054,-0.2314306,-0.2948525,-0.43443507,-0.23512441,-0.47857958,-0.64201635,-0.28768447,-0.466529,-0.5002125,-0.3938438,-0.106231585,-0.34954086,-0.56455755,-0.57329434,-0.24936895,-0.20807637,-0.25929922,-0.3626993,-0.27597958,-0.15417337,0.002925869,-0.13738614,-0.08854788
2019/6/3,-0.18240663,-0.3225,-0.47465378,-0.32858405,-0.30053777,-0.1651382,-0.43858242,-0.41769928,-0.39911664,-0.4392632,-0.37000832,-0.4791989,-0.42300296,-0.27908188,-0.27130145,-0.28877735,-0.4019867,-0.35680687,-0.40941817,-0.36278212,-0.46291426,-0.51035565,-0.39196995,-0.44091377,-0.46170264,-0.52646786,-0.46084437,-0.39398232,-0.55728406,-0.4281298,-0.45321953,-0.43662062,-0.4550541,-0.38180265,-0.40659246,-0.3687011,-0.22668141,-0.39520144,-0.42355305,-0.42499495,-0.41948098,-0.3862351,-0.35012335,-0.5342312,-0.4988101,-0.66775095,-0.4739926,-0.5828154,-0.3375161,-0.65874904,-0.36113483,-0.17530367,-0.44535363,-0.3750573,-0.29693434,-0.15682751,-0.6079246,-0.45204622,-0.4034378,-0.5242015,-0.35612673,-0.30222127,-0.48164737,-0.5024961,-0.4275663,-0.36011744,-0.28107294,-0.31473577,-0.3713597,-0.34955862,-0.4106238,-0.5909865,-0.49819192,-0.43534124,-0.4774826,-0.41817012,-0.23010872,-0.5475421,-0.61719054,-0.26170284,-0.3220074,-0.5336483,-0.5470014,-0.26042998,-0.34430382,-0.48403758,-0.51402915,-0.3151345,-0.35268438,-0.1401401,-0.1846812,-0.11154347
