date,ind,ind_d
2,-0.4042386,-0.1713364
3,-0.4620431,-0.0578045
4,-0.4496387,0.0124044
5,-0.3362851,0.1133537
6,-0.2741836,0.0621015
7,-0.3258061,-0.0516225
8,-0.1971324,0.1286737
9,-0.0686069,0.1285255
10,-0.1187423,-0.0501354
11,-0.0839144,0.0348279
12,0.0032129,0.0871274
13,0.1282308,0.1250179
14,0.0338256,-0.0944052
15,0.0960753,0.0622497
16,0.0786547,-0.0174205
17,0.0671204,-0.0115344
18,0.0187339,-0.0483865
19,-0.0383712,-0.0571051
20,0.0813178,0.119689
21,-0.184813,-0.2661308
22,-0.1792321,0.0055809
23,-0.1456901,0.033542
24,-0.0276182,0.118072
25,-0.153339,-0.1257209
26,-0.2643585,-0.1110195
27,-0.3123809,-0.0480224
28,-0.5426285,-0.2302476
29,-0.3879551,0.1546734
30,-0.3093701,0.078585
31,-0.44657,-0.1371999
32,-0.5330026,-0.0864325
33,-0.4182081,0.1147945
34,-0.305489,0.1127191
35,-0.4712669,-0.1657779
36,-0.3114968,0.1597701
37,-0.1374131,0.1740836
38,-0.1778563,-0.0404432
39,-0.0964696,0.0813867
40,-0.1241135,-0.0276438
41,0.1249744,0.2490879
42,-0.0486369,-0.1736113
43,0.02659,0.0752269
44,0.150663,0.124073
45,0.0618902,-0.0887728
46,0.1660192,0.104129
47,0.054955,-0.1110643
48,0.2581976,0.2032426
49,0.0896223,-0.1685753
50,0.2620525,0.1724302
51,0.2274663,-0.0345862
52,0.23469,0.0072237
53,0.0434502,-0.1912398
54,0.2841792,0.240729
55,0.1732187,-0.1109605
56,0.3876331,0.2144145
57,0.6440367,0.2564035
58,0.7137571,0.0697204
59,0.6478938,-0.0658633
60,0.8152012,0.1673073
61,0.9096061,0.0944049
62,0.922237,0.0126309
63,0.9232191,0.0009821
64,1.163615,0.2403955
65,1.15255,-0.0110642
66,1.133425,-0.0191252
67,1.160403,0.0269778
68,1.502121,0.3417178
69,1.407909,-0.0942115
70,1.363948,-0.0439612
71,1.546206,0.1822579
72,1.51511,-0.031096
73,1.32468,-0.1904297
74,1.255382,-0.0692987
75,1.400266,0.1448842
76,1.291245,-0.1090212
77,1.306398,0.0151535
78,1.007063,-0.2993351
79,1.124125,0.1170614
80,1.173674,0.0495491
81,1.283139,0.1094651
82,1.342452,0.0593137
83,1.328188,-0.0142641
84,1.440299,0.1121111
85,1.316698,-0.1236013
86,1.381774,0.0650758
87,1.559025,0.1772512
88,1.776267,0.2172424
89,1.775655,-0.0006127
90,1.834156,0.058501
91,1.847826,0.0136702
92,1.922004,0.0741782
93,1.970435,0.0484309
94,2.072209,0.1017741
95,2.098956,0.026747
96,2.195479,0.0965233
97,2.160391,-0.0350881
98,2.342142,0.181751
99,2.338978,-0.0031641
100,2.312096,-0.0268826
101,2.192605,-0.1194906
102,2.397467,0.2048621
103,2.38518,-0.0122871
104,2.469651,0.084471
105,2.269097,-0.2005537
106,2.448175,0.1790781
107,2.374699,-0.0734766
108,2.453837,0.0791378
109,2.49567,0.0418332
110,2.685838,0.1901681
111,2.75858,0.0727422
112,2.551102,-0.2074785
113,2.563294,0.0121927
114,2.544905,-0.0183892
115,2.446682,-0.0982232
116,2.291857,-0.1548245
117,2.320417,0.0285599
118,2.403358,0.0829411
119,2.12966,-0.2736986
120,2.272324,0.1426642
121,2.350694,0.0783701
122,2.31668,-0.0340145
123,2.221541,-0.0951383
124,2.47869,0.257149
125,2.453557,-0.0251329
126,2.219273,-0.2342846
127,2.112915,-0.1063581
128,2.066688,-0.0462265
129,2.064521,-0.0021677
130,1.989479,-0.0750414
131,1.829971,-0.1595086
132,1.807719,-0.0222517
133,1.717509,-0.0902096
134,1.744537,0.0270275
135,1.571973,-0.1725634
136,1.66443,0.0924566
137,1.565886,-0.0985442
138,1.557119,-0.0087667
139,1.685441,0.1283215
140,1.580895,-0.1045454
141,1.582285,0.0013902
142,1.687847,0.1055615
143,1.635103,-0.0527444
144,1.561592,-0.073511
145,1.685439,0.1238477
146,1.802422,0.1169828
147,1.544237,-0.2581846
148,1.360506,-0.1837313
149,1.34518,-0.015326
150,1.331262,-0.0139182
151,1.442938,0.1116765
152,1.275377,-0.1675618
153,1.366786,0.0914093
154,1.576922,0.2101363
155,1.512582,-0.0643407
156,1.515828,0.0032459
157,1.484987,-0.0308406
158,1.51726,0.0322729
159,1.477079,-0.0401812
160,1.581813,0.1047345
161,1.391701,-0.1901119
162,1.479074,0.0873729
163,1.389053,-0.090021
164,1.597685,0.2086314
165,1.544773,-0.0529113
166,1.759148,0.2143744
167,1.57424,-0.1849079
168,1.629474,0.0552343
169,1.684933,0.055459
170,1.63191,-0.0530233
171,1.903316,0.2714067
172,1.887126,-0.0161909
173,1.741179,-0.1459464
174,1.996984,0.2558049
175,1.700444,-0.2965404
176,1.847805,0.1473613
177,1.776483,-0.0713222
178,1.867002,0.0905194
179,1.591507,-0.2754956
180,1.996289,0.4047821
